"","UserID","Continent"
"1",1324354,"Europe"
"2",1324355,"Europe"
"3",1324356,"Europe"
"4",1324358,"Europe"
"5",1324360,"Asia"
"6",1324362,"Europe"
"7",1324363,"Europe"
"8",1324364,"Europe"
"9",1324368,"Europe"
"10",1324369,"Asia"
"11",1324372,"Europe"
"12",1324377,"Europe"
"13",1324378,"Europe"
"14",1324379,"Europe"
"15",1324383,"Europe"
"16",1324385,"Europe"
"17",1324386,"Europe"
"18",1324393,"Europe"
"19",1324396,"Europe"
"20",1324400,"Europe"
"21",1324402,"Europe"
"22",1324403,"Europe"
"23",1324404,"Europe"
"24",1324405,"Europe"
"25",1324408,"Europe"
"26",1324411,"Europe"
"27",1324413,"Europe"
"28",1324416,"Europe"
"29",1324418,"Asia"
"30",1324419,"Europe"
"31",1324420,"Europe"
"32",1324421,"Europe"
"33",1324424,"Europe"
"34",1324427,"Europe"
"35",1324429,"Europe"
"36",1324432,"Asia"
"37",1324433,"Asia"
"38",1324434,"Europe"
"39",1324437,"Asia"
"40",1324438,"Europe"
"41",1324441,"Europe"
"42",1324442,"Europe"
"43",1324443,"Europe"
"44",1324444,"Europe"
"45",1324446,"Asia"
"46",1324448,"Oceania"
"47",1324449,"Europe"
"48",1324454,"Europe"
"49",1324455,"Europe"
"50",1324456,"Europe"
"51",1324459,"Europe"
"52",1324460,"Europe"
"53",1324461,"Europe"
"54",1324465,"Europe"
"55",1324466,"Europe"
"56",1324470,"Europe"
"57",1324471,"Europe"
"58",1324473,"Europe"
"59",1324474,"Europe"
"60",1324475,"Europe"
"61",1324476,"Europe"
"62",1324477,"Europe"
"63",1324479,"Europe"
"64",1324482,"Europe"
"65",1324483,"Europe"
"66",1324484,"Europe"
"67",1324489,"Europe"
"68",1324490,"Europe"
"69",1324491,"Europe"
"70",1324492,"Europe"
"71",1324493,"Europe"
"72",1324494,"Europe"
"73",1324495,"Europe"
"74",1324498,"Europe"
"75",1324502,"Europe"
"76",1324503,"Europe"
"77",1324504,"Europe"
"78",1324505,"Europe"
"79",1324507,"Europe"
"80",1324508,"Europe"
"81",1324509,"Europe"
"82",1324510,"Europe"
"83",1324512,"Europe"
"84",1324517,"Europe"
"85",1324519,"Europe"
"86",1324521,"Europe"
"87",1324523,"Europe"
"88",1324524,"Europe"
"89",1324525,"Europe"
"90",1324526,"Europe"
"91",1324527,"Asia"
"92",1324529,"Europe"
"93",1324533,"Europe"
"94",1324535,"Europe"
"95",1324537,"Europe"
"96",1324539,"Europe"
"97",1324540,"Europe"
"98",1324543,"Europe"
"99",1324544,"Europe"
"100",1324545,"Europe"
"101",1324546,"Europe"
"102",1324549,"Europe"
"103",1324550,"Europe"
"104",1324551,"Europe"
"105",1324553,"Europe"
"106",1324554,"Europe"
"107",1324555,"Europe"
"108",1324556,"Europe"
"109",1324557,"Europe"
"110",1324559,"Europe"
